,reference_date,table,total_size
283977,2020-08-21,TAB000000,704439
283978,2020-08-22,TAB000000,693696
283979,2020-08-23,TAB000000,682160
283980,2020-08-24,TAB000000,678424
283981,2020-08-25,TAB000000,663419
283982,2020-08-26,TAB000000,654096
283983,2020-08-27,TAB000000,646179
283984,2020-08-28,TAB000000,638379
283985,2020-08-29,TAB000000,629040
283987,2020-08-30,TAB000000,611726
283988,2020-08-31,TAB000000,630454
283995,2020-09-01,TAB000000,609287
284006,2020-09-02,TAB000000,619920
284017,2020-09-03,TAB000000,632026
284019,2020-09-04,TAB000000,571707
284020,2020-09-05,TAB000000,573192
284021,2020-09-06,TAB000000,554115
284022,2020-09-07,TAB000000,548482
284023,2020-09-08,TAB000000,536169
284024,2020-09-09,TAB000000,531196
283996,2020-09-10,TAB000000,501950
283997,2020-09-11,TAB000000,488495
283998,2020-09-12,TAB000000,484010
283999,2020-09-13,TAB000000,480615
284000,2020-09-14,TAB000000,469670
284001,2020-09-15,TAB000000,460785
284002,2020-09-16,TAB000000,454141
284003,2020-09-17,TAB000000,453115
284004,2020-09-18,TAB000000,448230
284005,2020-09-19,TAB000000,451924
284007,2020-09-20,TAB000000,443999
284008,2020-09-21,TAB000000,443232
284009,2020-09-22,TAB000000,443258
284010,2020-09-23,TAB000000,445642
284011,2020-09-24,TAB000000,453173
284012,2020-09-25,TAB000000,443050
284013,2020-09-26,TAB000000,463950
284014,2020-09-27,TAB000000,466858
284015,2020-09-28,TAB000000,470739
284016,2020-09-29,TAB000000,472709
284018,2020-09-30,TAB000000,475417
283674,2020-10-01,TAB000000,490749
283686,2020-10-02,TAB000000,496160
283697,2020-10-03,TAB000000,497336
283700,2020-10-04,TAB000000,496831
283701,2020-10-05,TAB000000,496856
283702,2020-10-06,TAB000000,497294
283703,2020-10-07,TAB000000,493310
283704,2020-10-08,TAB000000,491583
283705,2020-10-09,TAB000000,492286
283675,2020-10-10,TAB000000,491780
283676,2020-10-11,TAB000000,494476
283677,2020-10-12,TAB000000,493304
283678,2020-10-13,TAB000000,495027
283679,2020-10-14,TAB000000,495491
283680,2020-10-15,TAB000000,1004329
283681,2020-10-15,TAB000000,1004329
283682,2020-10-16,TAB000000,501472
283683,2020-10-17,TAB000000,501914
283684,2020-10-18,TAB000000,502796
283685,2020-10-19,TAB000000,502773
283687,2020-10-20,TAB000000,502813
283688,2020-10-21,TAB000000,509717
283689,2020-10-22,TAB000000,520408
283690,2020-10-23,TAB000000,535069
283691,2020-10-24,TAB000000,539256
283692,2020-10-25,TAB000000,538125
283693,2020-10-26,TAB000000,544154
283694,2020-10-27,TAB000000,543790
283695,2020-10-28,TAB000000,545546
283696,2020-10-29,TAB000000,553338
283698,2020-10-30,TAB000000,565531
